Date,Open,High,Low,Close,Adj Close,Volume
2024-04-05,168.100006,172.690002,165.580002,170.419998,170.419998,66025200
2024-04-04,182.919998,183.020004,165.649994,165.830002,165.830002,88280000
2024-04-03,177.539993,182.050003,176.699997,180.770004,180.770004,49835100
2024-04-02,179.470001,180.100006,174.830002,178.699997,178.699997,61598800
2024-04-01,180.100006,187.240005,179.899994,183.339996,183.339996,74299900
2024-03-28,179.470001,183.399994,178.300003,180.490005,180.490005,57628600
2024-03-27,179.960007,181.229996,175.399994,179.589996,179.589996,55685600
2024-03-26,179.539993,182.600006,176.330002,177.869995,177.869995,65322400
2024-03-25,172.899994,182.800003,172.0,178.630005,178.630005,71935300
2024-03-22,177.210007,180.759995,175.050003,179.649994,179.649994,57832100
